latitude,longitude,accommodates,bedrooms,beds,minimum_nights,maximum_nights,availability_365,number_of_reviews,review_scores_rating,host_is_superhost,host_identity_verified,calculated_host_listings_count,instant_bookable,reviews_per_month,review_scores_location,review_scores_cleanliness,price,bathrooms,has_wifi,has_ac,has_pool,has_parking,has_view,has_elevator,is_pet_friendly,has_balcony,neighbourhood_cleansed_Atasehir,neighbourhood_cleansed_Avcilar,neighbourhood_cleansed_Bagcilar,neighbourhood_cleansed_Bahcelievler,neighbourhood_cleansed_Bakirkoy,neighbourhood_cleansed_Basaksehir,neighbourhood_cleansed_Besiktas,neighbourhood_cleansed_Beyoglu,neighbourhood_cleansed_Esenyurt,neighbourhood_cleansed_Fatih,neighbourhood_cleansed_Kadikoy,neighbourhood_cleansed_Kagithane,neighbourhood_cleansed_Kucukcekmece,neighbourhood_cleansed_Maltepe,neighbourhood_cleansed_Other,neighbourhood_cleansed_Pendik,neighbourhood_cleansed_Sile,neighbourhood_cleansed_Sisli,neighbourhood_cleansed_Umraniye,neighbourhood_cleansed_Uskudar,property_type_Entire_home,property_type_Entire_rental_unit,property_type_Entire_serviced_apartment,property_type_Other,property_type_Private_room_in_bed_and_breakfast,property_type_Private_room_in_condo,property_type_Private_room_in_home,property_type_Private_room_in_rental_unit,property_type_Room_in_aparthotel,property_type_Room_in_boutique_hotel,property_type_Room_in_hotel,room_type_Hotel_room,room_type_Private_room,room_type_Shared_room
41.03188,28.97267,6,1.0,2.0,2.0,90.0,62,134,4.53,0,1,7,0.0,0.82,4.72,4.41,2728.5,1.0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
41.03806,28.97581,2,1.0,1.0,2.0,1095.0,298,49,4.37,0,1,4,0.0,0.31,4.14,4.27,2635.5,1.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
41.03691,28.97167,1,1.0,1.0,100.0,300.0,365,15,4.71,0,1,6,0.0,0.09,4.53,4.36,278.91,1.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
41.02739,28.94632,2,1.0,1.0,3.0,1125.0,365,50,4.64,0,1,6,0.0,0.37,4.47,4.75,3406.33,1.0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
41.08387,28.66124,2,1.0,1.0,100.0,1125.0,365,0,4.79,0,1,2,0.0,0.0,4.83,4.75,655.31,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
41.02863,28.97712,1,1.0,1.0,100.0,365.0,182,42,4.82,1,1,7,0.0,0.23,4.83,4.54,198.67,1.0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
40.98819,29.02951,4,1.0,2.0,100.0,1125.0,364,12,4.5,0,1,3,0.0,0.07,5.0,4.67,796.09,1.0,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
41.01536,28.94716,3,1.0,2.0,100.0,1125.0,365,0,4.79,0,1,2,0.0,0.0,4.83,4.75,1314.3,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
40.98492,29.02851,2,1.0,1.0,100.0,1125.0,365,55,4.89,0,1,3,0.0,0.33,4.98,4.84,576.29,1.0,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
41.027791,28.976387,5,2.0,2.0,2.0,1125.0,134,289,4.97,1,1,5,0.0,1.78,4.97,4.93,11412.0,1.5,1,1,0,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
